,struct_typ,occ_type,year_built,no_stories,magnitude,distance,meandamage
0,URM,RES1,1946,1,5,8.758655047,0.13637
1,W1,COM1,1946,1,5,8.750070851,0.13302
2,URM,RES1,19830429,1,5,8.761616975,0.1807
3,URM,RES1,1954,1,5,8.767488522,0.14398
4,URM,RES1,19821126,1,5,8.764525958,0.17911
5,URM,COM2,1927,2,5,8.779293161,0.12104
6,URM,RES1,19840111,1,5,8.798138598,0.18211
7,C4,RES1,20111018,2,5,8.783458867,0.23953
8,URM,RES1,20121129,2,5,8.811456244,0.24215
9,URM,RES1,1928,1,5,8.79190454,0.12171
10,URM,RES1,19971106,2,5,8.832843315,0.20562
11,URM,RES1,19800711,2,5,8.824823751,0.17573
12,W1,RES1,1952,1,5,8.84026368,0.13732
13,URM,RES1,19961227,2,5,8.844399609,0.20351
14,S1,COM2,20020125,3,5,8.738821066,0.08795
15,URM,RES1,20001214,1,5,8.780461291,0.21233
16,URM,RES1,19980918,1,5,8.82437185,0.20775
17,C4,RES1,20040830,1,5,8.837815556,0.2211
18,URM,RES1,19730608,2,5,8.764713504,0.16609
19,URM,RES1,19850909,1,5,8.80955992,0.18367
20,C4,RES1,20120605,4,5,8.812057794,0.24215
21,URM,RES1,19841220,1,5,8.805877193,0.18206
22,S1,RES1,20101117,1,5,8.802326139,0.12147
23,S1,COM2,20070502,1,5,8.710469879,0.11865
24,S1,RES1,19940331,1,5,8.775228377,0.09285
27,C4,RES1,20021126,3,5,8.72757035,0.21715
28,C4,COM2,20050922,2,5,8.706000458,0.22439
29,C4,COM1,20030927,3,5,8.697060488,0.21756
30,C4,COM2,20050913,3,5,8.703598253,0.22226
31,URM,RES1,19801219,2,5,8.722049473,0.17627
32,S1,RES1,19971211,3,5,8.745418903,0.07931
33,URM,RES1,19980701,2,5,8.741182482,0.20827
34,S1,COM2,20130613,1,5,8.739355779,0.12146
35,C4,RES1,19970901,3,5,8.793120854,0.20586
36,C4,RES1,19940331,3,5,8.765925966,0.20002
37,C4,RES1,20021214,3,5,8.723277326,0.21718
38,C4,RES1,20021214,3,5,8.713556502,0.21724
39,S1,COM2,20000127,1,5,8.718953696,0.11185
40,S1,COM2,20030415,1,5,8.72655623,0.11463
41,C4,RES1,20131212,3,5,8.702092616,0.24585
42,C4,RES1,20140213,3,5,8.69382994,0.24888
43,S1,COM2,20150326,3,5,8.683881131,0.08789
44,C4,RES1,20020308,3,5,8.747983132,0.21702
45,C4,RES1,20020308,2,5,8.739576335,0.21707
46,URM,RES1,19940914,2,5,8.752565415,0.2001
47,S1,COM3,19950913,0,5,8.919892255,0.10682
48,C4,COM1,19900808,1,5,8.946152962,0.19148
49,URM,COM2,19900921,1,5,8.930430446,0.19157
50,S1,COM2,19990528,1,5,8.942327015,0.10706
51,S1,COM2,19981010,3,5,8.737359708,0.08513
53,URM,COM2,19980910,2,5,8.707297434,0.20848
54,C4,RES1,20131212,3,5,8.705661344,0.24582
55,URM,RES1,20020627,1,5,8.601676218,0.21797
56,S1,COM2,20010320,1,5,8.594580915,0.10378
57,C4,RES1,19990705,1,5,8.576995383,0.21143
58,S1,COM2,20150515,1,5,8.56625044,0.12801
59,C4,COM3,20000212,3,5,8.633051609,0.21122
60,S1,RES1,20030513,1,5,8.623675193,0.11498
61,C4,RES1,20021211,3,5,8.565484913,0.2182
62,URM,RES1,19840814,1,5,8.516662196,0.18364
63,C4,COM2,19970925,4,5,8.51027331,0.19407
64,S1,RES1,19970220,2,5,8.649279091,0.10032
65,S1,COM2,19990716,2,5,8.724979847,0.10776
66,S1,COM2,19961116,2,5,8.683554018,0.09457
67,C4,RES1,20060710,1,5,8.654001257,0.22722
68,C4,COM3,20060710,2,5,8.649577756,0.22725
69,W1,RES1,20151016,2,5,8.645541868,0.21892
70,S1,COM2,19991224,1,5,8.690189031,0.11104
71,C4,COM2,19981212,4,5,8.625946368,0.19536
72,S1,COM3,20010515,1,5,8.564524406,0.11006
73,S1,COM2,20050707,1,5,8.552200468,0.11718
74,S1,COM2,20030903,2,5,8.542474587,0.09618
75,S1,COM2,20120612,2,5,8.528799275,0.10001
76,C4,COM2,19961007,3,5,8.495851393,0.20366
77,C4,COM1,20131210,3,5,8.582305013,0.24437
78,C4,COM2,19970620,3,5,8.612117955,0.19894
79,C4,RES1,20000124,3,5,8.678952755,0.21297
80,C4,RES1,20020823,3,5,8.633375399,0.21776
81,C4,RES1,20020128,4,5,8.663594394,0.19819
82,C4,RES1,20141027,4,5,8.63869422,0.23304
83,C4,RES1,20141211,4,5,8.64994356,0.23952
84,C4,RES1,20001010,3,5,8.683388041,0.20467
85,C4,RES1,20020823,3,5,8.626054432,0.21781
86,S1,COM2,20051116,2,5,8.647476362,0.09373
87,C4,RES1,20080220,1,5,5.897775605,0.24989
88,C4,RES1,20080220,2,5,5.885434787,0.24996
89,URM,RES1,19990204,1,5,5.907720027,0.22683
90,URM,RES1,19990204,1,5,5.912591383,0.22681
91,S1,RES1,20070807,1,5,5.902458822,0.12781
92,URM,RES1,19910514,1,5,5.777824135,0.21029
93,URM,RES1,19990204,1,5,5.887764358,0.22694
94,URM,COM2,19990204,1,5,5.875260204,0.227
95,C4,RES1,20120118,4,5,5.793825695,0.24519
96,C4,RES1,20120118,4,5,5.784434984,0.24524
97,URM,RES1,19990319,1,5,5.809959668,0.22734
98,URM,RES1,19990204,1,5,5.802595608,0.22737
99,URM,RES1,19990504,1,5,5.837667636,0.22719
100,C4,RES1,20070702,2,5,5.845359247,0.2474
101,URM,RES1,19991221,1,5,5.870877105,0.22702
102,URM,RES1,19990319,1,5,5.895089472,0.2269
103,URM,RES1,19920724,1,5,5.737157065,0.21249
104,URM,RES1,19910511,1,5,5.720207263,0.21057
105,URM,RES1,20021111,1,5,5.793126662,0.23462
106,URM,RES1,19910408,1,5,5.759857249,0.21038
107,URM,RES1,19960127,1,5,5.745135226,0.22089
108,C4,COM2,20071031,2,5,5.73049592,0.24803
109,URM,RES1,19921005,2,5,5.709372084,0.21263
110,URM,RES1,19901026,1,5,5.796247439,0.20824
111,S1,IND1,20091230,1,5,8.525211972,0.11131
112,S1,IND1,20091230,1,5,8.49295094,0.11142
113,URM,RES1,19901204,1,5,5.766573035,0.20838
114,URM,RES1,20021018,1,5,5.759289173,0.2348
115,URM,RES1,20000816,1,5,5.787066214,0.2298
116,URM,RES1,19910508,1,5,5.75593708,0.2104
117,URM,RES1,19910507,1,5,5.742762238,0.21046
118,URM,RES1,19930322,1,5,5.741894973,0.21452
119,W1,RES1,1961,1,5,10.29940784,0.13841
